pa, pp, ta, tp
a father removes a newspaper .,a newspaper is removed by a father .,the professor helped the singer .,the singer was helped by the professor .
the professor led the army .,the army was led by the professor .,an actress raises a button .,a button is raised by an actress .
the soldier chases the buddy .,the buddy is chased by the soldier .,a child removed a book .,a book was removed by a child .
a winner wants a flower .,a flower is wanted by a winner .,the captain struck the kid .,the kid was struck by the captain .
a king strikes an author .,an author is struck by a king .,the worker embraced the employer .,the employer was embraced by the worker .
a mayor describes a plate .,a plate is described by a mayor .,the friend embraced the soldier .,the soldier was embraced by the friend .
a mayor strikes a son .,a son is struck by a mayor .,the kid described the beer .,the beer was described by the kid .
the cop removed the cigarette .,the cigarette was removed by the cop .,an uncle strikes a brother .,a brother is struck by an uncle .
a pilot washed a button .,a button was washed by a pilot .,the aunt embraces the son .,the son is embraced by the aunt .
a prince protects a candidate .,a candidate is protected by a prince .,the colonel prepared the wire .,the wire was prepared by the colonel .
the priest judged the army .,the army was judged by the priest .,a chief carries a princess .,a princess is carried by a chief .
the physician raised the meal .,the meal was raised by the physician .,a girl discovers a coffee .,a coffee is discovered by a girl .
a reader killed a nurse .,a nurse was killed by a reader .,the actress smells the pie .,the pie is smelled by the actress .
the hero washes the reader .,the reader is washed by the hero .,a minister wrapped a guitar .,a guitar was wrapped by a minister .
a parent forgives a club .,a club is forgiven by a parent .,the uncle hurt the business .,the business was hurt by the uncle .
a reader led a band .,a band was led by a reader .,the guest joins the army .,the army is joined by the guest .
a mother protects a buddy .,a buddy is protected by a mother .,the singer judged the guy .,the guy was judged by the singer .
a guy bothers a business .,a business is bothered by a guy .,the aunt destroyed the beer .,the beer was destroyed by the aunt .
the parent washes the engine .,the engine is washed by the parent .,a singer selected a writer .,a writer was selected by a singer .
a pilot forgives a parent .,a parent is forgiven by a pilot .,the winner wrapped the coat .,the coat was wrapped by the winner .
the guy forgives the actor .,the actor is forgiven by the guy .,a secretary ate a cheese .,a cheese was eaten by a secretary .
a secretary bothered a band .,a band was bothered by a secretary .,the opponent collects the salad .,the salad is collected by the opponent .
the professor embraces the leader .,the leader is embraced by the professor .,a minister judged a pilot .,a pilot was judged by a minister .
the scientist kept the coat .,the coat was kept by the scientist .,a lawyer comforts a cop .,a cop is comforted by a lawyer .
an employee followed a friend .,a friend was followed by an employee .,the chief forgives the band .,the band is forgiven by the chief .
a soldier grabbed a student .,a student was grabbed by a soldier .,the scientist eats the candy .,the candy is eaten by the scientist .
the partner chased the guest .,the guest was chased by the partner .,an aunt beats an actress .,an actress is beaten by an aunt .
a manager strikes a captain .,a captain is struck by a manager .,the brother drank the beer .,the beer was drunk by the brother .
a bishop discovers a coffee .,a coffee is discovered by a bishop .,the child hurt the boy .,the boy was hurt by the child .
a husband surprises an employer .,an employer is surprised by a husband .,the partner wanted the book .,the book was wanted by the partner .
a guy embraced a champion .,a champion was embraced by a guy .,the child wraps the coat .,the coat is wrapped by the child .
a student carried a coffee .,a coffee was carried by a student .,the candidate drags the wire .,the wire is dragged by the candidate .
the colonel eats the chicken .,the chicken is eaten by the colonel .,a brother smelled a beer .,a beer was smelled by a brother .
the pilot understands the king .,the king is understood by the pilot .,a company kept a cigarette .,a cigarette was kept by a company .
a guy catches a beer .,a beer is caught by a guy .,the kid purchased the cheese .,the cheese was purchased by the kid .
the opponent struck the actress .,the actress was struck by the opponent .,an aunt surprises a winner .,a winner is surprised by an aunt .
a partner beat a lady .,a lady was beaten by a partner .,the president purchases the pie .,the pie is purchased by the president .
a husband collects a candy .,a candy is collected by a husband .,the actress smelled the tea .,the tea was smelled by the actress .
the opponent joined the minister .,the minister was joined by the opponent .,a prince hurts a company .,a company is hurt by a prince .
a leader dragged a cigarette .,a cigarette was dragged by a leader .,the actor breaks the box .,the box is broken by the actor .
the bishop selects the juice .,the juice is selected by the bishop .,an administration protected a prince .,a prince was protected by an administration .
a manager accepts an anchor .,an anchor is accepted by a manager .,the father punched the attorney .,the attorney was punched by the father .
a candidate selects a colonel .,a colonel is selected by a candidate .,the father understood the brother .,the brother was understood by the father .
the opponent destroyed the juice .,the juice was destroyed by the opponent .,a guest teaches a president .,a president is taught by a guest .
a student prepared a coffee .,a coffee was prepared by a student .,the child purchases the pie .,the pie is purchased by the child .
a minister understands a husband .,a husband is understood by a minister .,the secretary helped the employer .,the employer was helped by the secretary .
the professor joins the corporation .,the corporation is joined by the professor .,a chief asked a band .,a band was asked by a chief .
the prince keeps the iron .,the iron is kept by the prince .,a friend asked an administration .,an administration was asked by a friend .
the king understands the hero .,the hero is understood by the king .,an employee beat a doctor .,a doctor was beaten by an employee .
an author prepares a cheese .,a cheese is prepared by an author .,the cousin judged the administration .,the administration was judged by the cousin .
a leader embraces an employee .,an employee is embraced by a leader .,the nurse tasted the cheese .,the cheese was tasted by the nurse .
the sheriff described the tea .,the tea was described by the sheriff .,a cousin embraces a champion .,a champion is embraced by a cousin .
the employer purchases the plate .,the plate is purchased by the employer .,a kid drank a coffee .,a coffee was drunk by a kid .
a guest washed a ball .,a ball was washed by a guest .,the colonel tastes the candy .,the candy is tasted by the colonel .
the king asked the administration .,the administration was asked by the king .,a writer strikes a professor .,a professor is struck by a writer .
a secretary surprises a kid .,a kid is surprised by a secretary .,the friend comforted the prince .,the prince was comforted by the friend .
the husband surprised the aunt .,the aunt was surprised by the husband .,a captain collects a computer .,a computer is collected by a captain .
the child chased the friend .,the friend was chased by the child .,a pilot judges a band .,a band is judged by a pilot .
the soldier washed the husband .,the husband was washed by the soldier .,a leader punches a king .,a king is punched by a leader .
a daughter broke a button .,a button was broken by a daughter .,the captain accepts the flower .,the flower is accepted by the captain .
a band purchased a glass .,a glass was purchased by a band .,the champion teaches the priest .,the priest is taught by the champion .
the king asks the pilot .,the pilot is asked by the king .,an army protected a woman .,a woman was protected by an army .
a nurse killed a bishop .,a bishop was killed by a nurse .,the opponent embraces the girl .,the girl is embraced by the opponent .
a woman left an instrument .,an instrument was left by a woman .,the princess describes the meal .,the meal is described by the princess .
a prince kills a professor .,a professor is killed by a prince .,the hero comforted the kid .,the kid was comforted by the hero .
an employee collected a bottle .,a bottle was collected by an employee .,the professor leaves the flower .,the flower is left by the professor .
the lawyer joined the business .,the business was joined by the lawyer .,a brother drinks a coffee .,a coffee is drunk by a brother .
the soldier understands the priest .,the priest is understood by the soldier .,a wife caught a meal .,a meal was caught by a wife .
a singer selected a pie .,a pie was selected by a singer .,the cousin surprises the candidate .,the candidate is surprised by the cousin .
a student washes a bell .,a bell is washed by a student .,the boy drank the juice .,the juice was drunk by the boy .
a winner discovers a computer .,a computer is discovered by a winner .,the cop removed the crystal .,the crystal was removed by the cop .
the aunt destroys the tea .,the tea is destroyed by the aunt .,a cop dragged a telephone .,a telephone was dragged by a cop .
the minister comforts the lady .,the lady is comforted by the minister .,a doctor removed a glass .,a glass was removed by a doctor .
the nurse selected the flower .,the flower was selected by the nurse .,a prince punches a lawyer .,a lawyer is punched by a prince .
a chief raises a chicken .,a chicken is raised by a chief .,the partner surprised the candidate .,the candidate was surprised by the partner .
the aunt destroyed the opponent .,the opponent was destroyed by the aunt .,a soldier removes an engine .,an engine is removed by a soldier .
an opponent followed a business .,a business was followed by an opponent .,the cop comforts the parent .,the parent is comforted by the cop .
the nurse chased the corporation .,the corporation was chased by the nurse .,a priest teaches an adult .,an adult is taught by a priest .
a prince forgot a salad .,a salad was forgotten by a prince .,the mayor grabs the tea .,the tea is grabbed by the mayor .
a president drinks a beer .,a beer is drunk by a president .,the actor surprised the student .,the student was surprised by the actor .
a worker kisses a reader .,a reader is kissed by a worker .,the colonel joined the band .,the band was joined by the colonel .
a bishop drags a book .,a book is dragged by a bishop .,the actress removed the guitar .,the guitar was removed by the actress .
the cop removes the computer .,the computer is removed by the cop .,a kid used a hat .,a hat was used by a kid .
a leader punches a mother .,a mother is punched by a leader .,the cop accepted the gun .,the gun was accepted by the cop .
the mother grabs the chicken .,the chicken is grabbed by the mother .,a husband helped a leader .,a leader was helped by a husband .
an actor wraps a flower .,a flower is wrapped by an actor .,the bishop described the cheese .,the cheese was described by the bishop .
the buddy kissed the professor .,the professor was kissed by the buddy .,a child surprises a girl .,a girl is surprised by a child .
a professor killed a secretary .,a secretary was killed by a professor .,the chief surprises the uncle .,the uncle is surprised by the chief .
the boy left the card .,the card was left by the boy .,a husband bothers a prince .,a prince is bothered by a husband .
a daughter understands an actress .,an actress is understood by a daughter .,the administration used the guitar .,the guitar was used by the administration .
a chief grabs a partner .,a partner is grabbed by a chief .,the woman asked the club .,the club was asked by the woman .
a priest breaks a crystal .,a crystal is broken by a priest .,the club protected the student .,the student was protected by the club .
the husband chases the company .,the company is chased by the husband .,a woman carried a candidate .,a candidate was carried by a woman .
an uncle wrapped a button .,a button was wrapped by an uncle .,the author follows the student .,the student is followed by the author .
the company helps the reader .,the reader is helped by the company .,a winner described an iron .,an iron was described by a winner .
an employee chased an administration .,an administration was chased by an employee .,the champion collects the tea .,the tea is collected by the champion .
the woman removes the log .,the log is removed by the woman .,a bishop kissed a student .,a student was kissed by a bishop .
a secretary ate a cheese .,a cheese was eaten by a secretary .,the president surprises the wife .,the wife is surprised by the president .
a candidate followed an army .,an army was followed by a candidate .,the uncle describes the beer .,the beer is described by the uncle .
the writer grabbed the candy .,the candy was grabbed by the writer .,a scientist kisses a pilot .,a pilot is kissed by a scientist .
the leader catches the beer .,the beer is caught by the leader .,a cousin described a book .,a book was described by a cousin .
the attorney smelled the bottle .,the bottle was smelled by the attorney .,a man purchases a coffee .,a coffee is purchased by a man .
the corporation wanted the meal .,the meal was wanted by the corporation .,a professor collects a bowl .,a bowl is collected by a professor .
a parent grabbed a coffee .,a coffee was grabbed by a parent .,the actress smells the cigarette .,the cigarette is smelled by the actress .
an attorney followed a company .,a company was followed by an attorney .,the father accepts the book .,the book is accepted by the father .
the singer followed the mayor .,the mayor was followed by the singer .,a scientist breaks a button .,a button is broken by a scientist .
the guy led the administration .,the administration was led by the guy .,a writer hurries an aunt .,an aunt is hurried by a writer .
an attorney describes a cheese .,a cheese is described by an attorney .,the guest removed the knife .,the knife was removed by the guest .
a father wrapped a motor .,a motor was wrapped by a father .,the physician judges the administration .,the administration is judged by the physician .
a champion hurried a brother .,a brother was hurried by a champion .,the man surprises the nurse .,the nurse is surprised by the man .
the corporation uses the bell .,the bell is used by the corporation .,a buddy killed a mayor .,a mayor was killed by a buddy .
the soldier followed the reader .,the reader was followed by the soldier .,a lawyer joins an opponent .,an opponent is joined by a lawyer .
a priest chases a physician .,a physician is chased by a priest .,the child embraced the girl .,the girl was embraced by the child .
the brother ate the salad .,the salad was eaten by the brother .,a mayor joins a club .,a club is joined by a mayor .
a wife teaches a child .,a child is taught by a wife .,the lawyer smelled the juice .,the juice was smelled by the lawyer .
the prince punches the reader .,the reader is punched by the prince .,a guy judged an administration .,an administration was judged by a guy .
the administration uses the plate .,the plate is used by the administration .,a winner beat a daughter .,a daughter was beaten by a winner .
a son grabs a writer .,a writer is grabbed by a son .,the priest embraced the hero .,the hero was embraced by the priest .
the singer discovers the cheese .,the cheese is discovered by the singer .,a wife selected a husband .,a husband was selected by a wife .
a candidate hurries a physician .,a physician is hurried by a candidate .,the cop surprised the father .,the father was surprised by the cop .
a corporation purchases a gun .,a gun is purchased by a corporation .,the mayor forgot the salad .,the salad was forgotten by the mayor .
a scientist bothers a colonel .,a colonel is bothered by a scientist .,the student grabbed the actor .,the actor was grabbed by the student .
a president keeps a pie .,a pie is kept by a president .,the captain punched the mother .,the mother was punched by the captain .
the adult eats the meal .,the meal is eaten by the adult .,a bishop understood an employer .,an employer was understood by a bishop .
a prince discovered a juice .,a juice was discovered by a prince .,the sheriff teaches the winner .,the winner is taught by the sheriff .
the hero destroyed the anchor .,the anchor was destroyed by the hero .,a son teaches a teacher .,a teacher is taught by a son .
the singer wraps the iron .,the iron is wrapped by the singer .,a partner smelled a juice .,a juice was smelled by a partner .
the professor beats the wife .,the wife is beaten by the professor .,a leader joined a band .,a band was joined by a leader .
a guy accepted a bag .,a bag was accepted by a guy .,the soldier leads the corporation .,the corporation is led by the soldier .
the student joined the corporation .,the corporation was joined by the student .,a singer chases an administration .,an administration is chased by a singer .
a pilot helped an employer .,an employer was helped by a pilot .,the mother collects the juice .,the juice is collected by the mother .
the son washes the engine .,the engine is washed by the son .,a business used a bowl .,a bowl was used by a business .
a buddy forgets a card .,a card is forgotten by a buddy .,the winner wanted the gun .,the gun was wanted by the winner .
a partner accepts a cigarette .,a cigarette is accepted by a partner .,the aunt punched the employer .,the employer was punched by the aunt .
a mayor asks an administration .,an administration is asked by a mayor .,the wife forgave the corporation .,the corporation was forgiven by the wife .
a teacher teaches a singer .,a singer is taught by a teacher .,the kid prepared the camera .,the camera was prepared by the kid .
a winner leads a corporation .,a corporation is led by a winner .,the captain caught the salad .,the salad was caught by the captain .
an employer follows a band .,a band is followed by an employer .,the parent dragged the winner .,the winner was dragged by the parent .
the professor smells the iron .,the iron is smelled by the professor .,a mayor embraced a pilot .,a pilot was embraced by a mayor .
a colonel tasted a cheese .,a cheese was tasted by a colonel .,the teacher surprises the king .,the king is surprised by the teacher .
a company uses a cup .,a cup is used by a company .,the pilot judged the club .,the club was judged by the pilot .
an opponent forgets a newspaper .,a newspaper is forgotten by an opponent .,the girl ate the pie .,the pie was eaten by the girl .
a cop hurts a club .,a club is hurt by a cop .,the priest smelled the anchor .,the anchor was smelled by the priest .
a sheriff comforted a chief .,a chief was comforted by a sheriff .,the champion forgets the cheese .,the cheese is forgotten by the champion .
the professor punches the father .,the father is punched by the professor .,an author kept a bottle .,a bottle was kept by an author .
a father understood a cousin .,a cousin was understood by a father .,the attorney purchases the juice .,the juice is purchased by the attorney .
a guest grabs a writer .,a writer is grabbed by a guest .,the opponent collected the gun .,the gun was collected by the opponent .
a colonel smells a beer .,a beer is smelled by a colonel .,the son broke the instrument .,the instrument was broken by the son .
an actress left a coat .,a coat was left by an actress .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
an employer understands a student .,a student is understood by an employer .,the champion helped the son .,the son was helped by the champion .
the buddy punches the teacher .,the teacher is punched by the buddy .,a father smelled a log .,a log was smelled by a father .
a manager comforted a son .,a son was comforted by a manager .,the guest leaves the iron .,the iron is left by the guest .
a scientist struck a student .,a student was struck by a scientist .,the partner bothers the worker .,the worker is bothered by the partner .
the son accepted the glass .,the glass was accepted by the son .,a hero collects a television .,a television is collected by a hero .
the professor prepared the juice .,the juice was prepared by the professor .,a child forgets a coffee .,a coffee is forgotten by a child .
the winner dragged the iron .,the iron was dragged by the winner .,a husband tastes a chicken .,a chicken is tasted by a husband .
a lady tasted a pie .,a pie was tasted by a lady .,the bishop purchases the tea .,the tea is purchased by the bishop .
a physician joined a manager .,a manager was joined by a physician .,the nurse smells the telephone .,the telephone is smelled by the nurse .
the leader raises the hat .,the hat is raised by the leader .,a student punched a scientist .,a scientist was punched by a student .
the actress forgot the newspaper .,the newspaper was forgotten by the actress .,an uncle drinks a tea .,a tea is drunk by an uncle .
the princess wrapped the machine .,the machine was wrapped by the princess .,an employer protects a child .,a child is protected by an employer .
the professor hurried the reader .,the reader was hurried by the professor .,a woman chases a business .,a business is chased by a woman .
a kid carried a candidate .,a candidate was carried by a kid .,the manager judges the business .,the business is judged by the manager .
a physician surprises a daughter .,a daughter is surprised by a physician .,the winner smelled the juice .,the juice was smelled by the winner .
a doctor understands a mayor .,a mayor is understood by a doctor .,the mother drank the beer .,the beer was drunk by the mother .
a chief kissed a reader .,a reader was kissed by a chief .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
a candidate kept a candy .,a candy was kept by a candidate .,the mayor eats the salad .,the salad is eaten by the mayor .
the minister selects the secretary .,the secretary is selected by the minister .,a man followed an army .,an army was followed by a man .
the guy drags the flower .,the flower is dragged by the guy .,a kid chased a club .,a club was chased by a kid .
the professor prepares the juice .,the juice is prepared by the professor .,a man chased a boy .,a boy was chased by a man .
a mother breaks an instrument .,an instrument is broken by a mother .,the actress grabbed the aunt .,the aunt was grabbed by the actress .
a winner kills a reader .,a reader is killed by a winner .,the administration helped the bishop .,the bishop was helped by the administration .
an opponent accepts a computer .,a computer is accepted by an opponent .,the lawyer bothered the army .,the army was bothered by the lawyer .
a winner removes a television .,a television is removed by a winner .,the prince used the guitar .,the guitar was used by the prince .
the professor prepares the salad .,the salad is prepared by the professor .,a lady hurt a company .,a company was hurt by a lady .
the friend discovered the bell .,the bell was discovered by the friend .,an author punches a soldier .,a soldier is punched by an author .
the worker kept the beer .,the beer was kept by the worker .,an author understands a father .,a father is understood by an author .
the writer kisses the captain .,the captain is kissed by the writer .,a business kept a coffee .,a coffee was kept by a business .
the doctor comforted the wife .,the wife was comforted by the doctor .,a singer kills a leader .,a leader is killed by a singer .
the nurse understands the minister .,the minister is understood by the nurse .,a husband raised a juice .,a juice was raised by a husband .
the singer washed the leader .,the leader was washed by the singer .,a prince judges a reader .,a reader is judged by a prince .
an actress carries a meal .,a meal is carried by an actress .,the pilot hurt the company .,the company was hurt by the pilot .
the husband discovered the chocolate .,the chocolate was discovered by the husband .,a priest bothers a captain .,a captain is bothered by a priest .
a daughter carries an engine .,an engine is carried by a daughter .,the prince caught the candy .,the candy was caught by the prince .
the mother removed the cigarette .,the cigarette was removed by the mother .,a guy accepts an iron .,an iron is accepted by a guy .
the reader removed the iron .,the iron was removed by the reader .,a business protects an adult .,an adult is protected by a business .
the hero dragged the pot .,the pot was dragged by the hero .,a reader protects a minister .,a minister is protected by a reader .
the doctor collected the cheese .,the cheese was collected by the doctor .,a guest teaches a mayor .,a mayor is taught by a guest .
an adult hurt a club .,a club was hurt by an adult .,the mayor accepts the television .,the television is accepted by the mayor .
the captain washes the daughter .,the daughter is washed by the captain .,a parent kissed an aunt .,an aunt was kissed by a parent .
an attorney described a mayor .,a mayor was described by an attorney .,the brother prepares the meal .,the meal is prepared by the brother .
a lawyer taught a husband .,a husband was taught by a lawyer .,the author carries the plate .,the plate is carried by the author .
a cousin understands a captain .,a captain is understood by a cousin .,the prince removed the bag .,the bag was removed by the prince .
a priest kills a reader .,a reader is killed by a priest .,the physician helped the kid .,the kid was helped by the physician .
the army uses the log .,the log is used by the army .,a princess washed a cousin .,a cousin was washed by a princess .
a president struck a worker .,a worker was struck by a president .,the hero eats the chicken .,the chicken is eaten by the hero .
the attorney accepted the button .,the button was accepted by the attorney .,a kid removes a cigarette .,a cigarette is removed by a kid .
the administration protects the singer .,the singer is protected by the administration .,a sheriff smelled a pie .,a pie was smelled by a sheriff .
the guy accepts the camera .,the camera is accepted by the guy .,an opponent tasted a chocolate .,a chocolate was tasted by an opponent .
a nurse punches a president .,a president is punched by a nurse .,the author protected the reader .,the reader was protected by the author .
the cousin forgave the corporation .,the corporation was forgiven by the cousin .,a sheriff collects a book .,a book is collected by a sheriff .
the lawyer forgot the meal .,the meal was forgotten by the lawyer .,an author hurts a winner .,a winner is hurt by an author .
a cousin raises a chicken .,a chicken is raised by a cousin .,the writer forgave the administration .,the administration was forgiven by the writer .
an author discovers a kid .,a kid is discovered by an author .,the son carried the cheese .,the cheese was carried by the son .
a woman accepted a guitar .,a guitar was accepted by a woman .,the hero punches the professor .,the professor is punched by the hero .
an aunt selects a cousin .,a cousin is selected by an aunt .,the guy helped the teacher .,the teacher was helped by the guy .
the scientist kisses the pilot .,the pilot is kissed by the scientist .,a cop beat a prince .,a prince was beaten by a cop .
the band keeps the log .,the log is kept by the band .,a soldier removed a flower .,a flower was removed by a soldier .
the business wants the pie .,the pie is wanted by the business .,a lawyer collected a meal .,a meal was collected by a lawyer .
the parent broke the engine .,the engine was broken by the parent .,a buddy asks a company .,a company is asked by a buddy .
a club used a television .,a television was used by a club .,the priest forgives the administration .,the administration is forgiven by the priest .
the prince grabs the girl .,the girl is grabbed by the prince .,a bishop bothered a winner .,a winner was bothered by a bishop .
the priest destroys the candy .,the candy is destroyed by the priest .,an attorney left an instrument .,an instrument was left by an attorney .
the wife asks the army .,the army is asked by the wife .,a kid accepted a flower .,a flower was accepted by a kid .
a bishop describes a meal .,a meal is described by a bishop .,the lawyer broke the pot .,the pot was broken by the lawyer .
a scientist prepared a button .,a button was prepared by a scientist .,the girl joins the band .,the band is joined by the girl .
the boy asks the club .,the club is asked by the boy .,a student comforted an actor .,an actor was comforted by a student .
an actress tastes a pie .,a pie is tasted by an actress .,the writer understood the kid .,the kid was understood by the writer .
a prince discovers a chocolate .,a chocolate is discovered by a prince .,the sheriff killed the man .,the man was killed by the sheriff .
the father wraps the log .,the log is wrapped by the father .,an employer removed a knife .,a knife was removed by an employer .
a son forgives an employer .,an employer is forgiven by a son .,the cop dragged the uncle .,the uncle was dragged by the cop .
the physician raises the candy .,the candy is raised by the physician .,a singer caught a log .,a log was caught by a singer .
the parent left the jacket .,the jacket was left by the parent .,an administration keeps a chicken .,a chicken is kept by an administration .
a corporation uses a key .,a key is used by a corporation .,the cousin followed the sheriff .,the sheriff was followed by the cousin .
the chief judged the company .,the company was judged by the chief .,a partner grabs a coffee .,a coffee is grabbed by a partner .
a student leads an army .,an army is led by a student .,the writer comforted the cop .,the cop was comforted by the writer .
an actor grabs a chocolate .,a chocolate is grabbed by an actor .,the doctor left the crystal .,the crystal was left by the doctor .
the chief leads the company .,the company is led by the chief .,a prince ate a chocolate .,a chocolate was eaten by a prince .
the employer hurts the priest .,the priest is hurt by the employer .,an opponent raised a president .,a president was raised by an opponent .
a scientist eats a salad .,a salad is eaten by a scientist .,the sheriff grabbed the employee .,the employee was grabbed by the sheriff .
the doctor washed the key .,the key was washed by the doctor .,a leader judges an actress .,an actress is judged by a leader .
the winner kisses the doctor .,the doctor is kissed by the winner .,a president judged an army .,an army was judged by a president .
a lawyer removes a glass .,a glass is removed by a lawyer .,the king destroyed the cigarette .,the cigarette was destroyed by the king .
a physician asked a business .,a business was asked by a physician .,the secretary strikes the scientist .,the scientist is struck by the secretary .
a cop carries a cheese .,a cheese is carried by a cop .,the husband dragged the prince .,the prince was dragged by the husband .
a boy wraps a wire .,a wire is wrapped by a boy .,the president embraced the physician .,the physician was embraced by the president .
the woman leaves the iron .,the iron is left by the woman .,a doctor dragged an opponent .,an opponent was dragged by a doctor .
the army uses the bottle .,the bottle is used by the army .,a prince hurried an opponent .,an opponent was hurried by a prince .
the professor bothered the army .,the army was bothered by the professor .,a champion embraces a guy .,a guy is embraced by a champion .
the employer ate the pie .,the pie was eaten by the employer .,a princess hurries a nurse .,a nurse is hurried by a princess .
a physician washes a log .,a log is washed by a physician .,the candidate embraced the scientist .,the scientist was embraced by the candidate .
the mayor described the gun .,the gun was described by the mayor .,a sheriff forgets a glass .,a glass is forgotten by a sheriff .
a wife punched a champion .,a champion was punched by a wife .,the secretary destroys the pie .,the pie is destroyed by the secretary .
the president catches the television .,the television is caught by the president .,an uncle taught a wife .,a wife was taught by an uncle .
an actress accepts a card .,a card is accepted by an actress .,the physician described the candy .,the candy was described by the physician .
the corporation protected the bishop .,the bishop was protected by the corporation .,a guy kisses a guest .,a guest is kissed by a guy .
a princess described a meal .,a meal was described by a princess .,the corporation uses the box .,the box is used by the corporation .
an author removed a television .,a television was removed by an author .,the parent discovers the candy .,the candy is discovered by the parent .
a professor destroys a chicken .,a chicken is destroyed by a professor .,the princess comforted the brother .,the brother was comforted by the princess .
the leader kisses the husband .,the husband is kissed by the leader .,a brother described a juice .,a juice was described by a brother .
a teacher forgave an actor .,an actor was forgiven by a teacher .,the business keeps the pie .,the pie is kept by the business .
the bishop drinks the tea .,the tea is drunk by the bishop .,a prince understood a lady .,a lady was understood by a prince .
the student destroyed the lawyer .,the lawyer was destroyed by the student .,a company purchases a beer .,a beer is purchased by a company .
the lawyer chases the woman .,the woman is chased by the lawyer .,a teacher bothered an army .,an army was bothered by a teacher .
an employee forgets a beer .,a beer is forgotten by an employee .,the cousin followed the administration .,the administration was followed by the cousin .
the uncle keeps the beer .,the beer is kept by the uncle .,a singer chased an army .,an army was chased by a singer .
the candidate left the card .,the card was left by the candidate .,an employee comforts a parent .,a parent is comforted by an employee .
a woman led a band .,a band was led by a woman .,the lawyer breaks the gun .,the gun is broken by the lawyer .
a corporation purchased a salad .,a salad was purchased by a corporation .,the soldier forgets the coffee .,the coffee is forgotten by the soldier .
a writer wanted a chicken .,a chicken was wanted by a writer .,the candidate bothers the president .,the president is bothered by the candidate .
a manager left a telephone .,a telephone was left by a manager .,the teacher surprises the employer .,the employer is surprised by the teacher .
the actor forgets the lady .,the lady is forgotten by the actor .,a mother raised a chocolate .,a chocolate was raised by a mother .
a reader bothered a candidate .,a candidate was bothered by a reader .,the minister smells the cheese .,the cheese is smelled by the minister .
the bishop discovered the tea .,the tea was discovered by the bishop .,a lawyer protects an attorney .,an attorney is protected by a lawyer .
a bishop wrapped a key .,a key was wrapped by a bishop .,the company protects the professor .,the professor is protected by the company .
the hero smells the book .,the book is smelled by the hero .,an employee left a box .,a box was left by an employee .
an actress drinks a beer .,a beer is drunk by an actress .,the pilot embraced the man .,the man was embraced by the pilot .
the partner understood the worker .,the worker was understood by the partner .,an adult collects a tea .,a tea is collected by an adult .
the army helps the opponent .,the opponent is helped by the army .,a lawyer ate a chocolate .,a chocolate was eaten by a lawyer .
the candidate describes the adult .,the adult is described by the candidate .,a son followed a club .,a club was followed by a son .
the opponent forgave the reader .,the reader was forgiven by the opponent .,a teacher purchases a cigarette .,a cigarette is purchased by a teacher .
a professor purchases a beer .,a beer is purchased by a professor .,the manager comforted the candidate .,the candidate was comforted by the manager .
the business protects the friend .,the friend is protected by the business .,a manager followed a club .,a club was followed by a manager .
the colonel tastes the cheese .,the cheese is tasted by the colonel .,an adult collected a salad .,a salad was collected by an adult .
the actress punched the daughter .,the daughter was punched by the actress .,a cop raises a coffee .,a coffee is raised by a cop .
the club used the gun .,the gun was used by the club .,a brother drags a button .,a button is dragged by a brother .
a worker discovers a salad .,a salad is discovered by a worker .,the student hurt the brother .,the brother was hurt by the student .
the uncle raises the chocolate .,the chocolate is raised by the uncle .,a daughter embraced a woman .,a woman was embraced by a daughter .
a business purchases a beer .,a beer is purchased by a business .,the minister discovered the guitar .,the guitar was discovered by the minister .
the student forgave the corporation .,the corporation was forgiven by the student .,a king surprises a prince .,a prince is surprised by a king .
the colonel eats the candy .,the candy is eaten by the colonel .,a prince chased an attorney .,an attorney was chased by a prince .
the winner discovered the telephone .,the telephone was discovered by the winner .,a daughter helps a guest .,a guest is helped by a daughter .
the employee selected the minister .,the minister was selected by the employee .,an actress punches a prince .,a prince is punched by an actress .
a girl kisses an author .,an author is kissed by a girl .,the minister used the cup .,the cup was used by the minister .
the business purchases the bottle .,the bottle is purchased by the business .,a brother ate a meal .,a meal was eaten by a brother .
a minister drags a winner .,a winner is dragged by a minister .,the brother left the bottle .,the bottle was left by the brother .
a singer surprises a princess .,a princess is surprised by a singer .,the lawyer wrapped the anchor .,the anchor was wrapped by the lawyer .
the soldier leads the administration .,the administration is led by the soldier .,a candidate forgave a husband .,a husband was forgiven by a candidate .
the father wraps the telephone .,the telephone is wrapped by the father .,a champion judged a club .,a club was judged by a champion .
a hero breaks a guitar .,a guitar is broken by a hero .,the soldier left the bottle .,the bottle was left by the soldier .
an attorney struck a hero .,a hero was struck by an attorney .,the candidate bothers the princess .,the princess is bothered by the candidate .
the kid discovered the bottle .,the bottle was discovered by the kid .,a secretary hurries a hero .,a hero is hurried by a secretary .
the corporation protects the brother .,the brother is protected by the corporation .,an uncle hurried a lawyer .,a lawyer was hurried by an uncle .
the employee purchases the motor .,the motor is purchased by the employee .,a president removed a computer .,a computer was removed by a president .
a princess understood a doctor .,a doctor was understood by a princess .,the opponent strikes the girl .,the girl is struck by the opponent .
a business protects a parent .,a parent is protected by a business .,the king bothered the army .,the army was bothered by the king .
